"L2/3_IT_VISp_Rrad"	"L2/3_IT_VISp_Adamts2"	"L2/3_IT_VISp_Agmat"	"L2/3_IT_ALM_Sla"	"L2/3_IT_ALM_Ptrf"	"L2/3_IT_ALM_Macc1_Lrg1"	"L4_IT_VISp_Rspo1"	"L5_IT_VISp_Hsd11b1_Endou"	"L5_IT_VISp_Whrn_Tox2"	"L5_IT_VISp_Batf3"	"L5_IT_VISp_Col6a1_Fezf2"	"L5_IT_VISp_Col27a1"	"L5_IT_ALM_Npw"	"L5_IT_ALM_Pld5"	"L5_IT_ALM_Cbln4_Fezf2"	"L5_IT_ALM_Lypd1_Gpr88"	"L5_IT_ALM_Tnc"	"L5_IT_ALM_Tmem163_Dmrtb1"	"L5_IT_ALM_Tmem163_Arhgap25"	"L5_IT_ALM_Cpa6_Gpr88"	"L5_IT_ALM_Gkn1_Pcdh19"	"L6_IT_ALM_Tgfb1"	"L6_IT_ALM_Oprk1"	"L6_IT_VISp_Penk_Col27a1"	"L6_IT_VISp_Penk_Fst"	"L6_IT_VISp_Col23a1_Adamts2"	"L6_IT_VISp_Col18a1"	"L6_IT_VISp_Car3"	"L5_PT_VISp_Chrna6"	"L5_PT_VISp_Lgr5"	"L5_PT_VISp_C1ql2_Ptgfr"	"L5_PT_VISp_C1ql2_Cdh13"	"L5_PT_VISp_Krt80"	"L5_PT_ALM_Slco2a1"	"L5_PT_ALM_Npsr1"	"L5_PT_ALM_Hpgd"	"L5_NP_VISp_Trhr_Cpne7"	"L5_NP_ALM_Trhr_Nefl"	"L5_NP_VISp_Trhr_Met"	"L6_NP_ALM_Trh"	"L6_CT_Nxph2_Sla"	"L6_CT_ALM_Cpa6"	"L6_CT_VISp_Krt80_Sla"	"L6_CT_VISp_Nxph2_Wls"	"L6_CT_VISp_Ctxn3_Brinp3"	"L6_CT_VISp_Ctxn3_Sla"	"L6_CT_VISp_Gpr139"	"L6b_Col8a1_Rprm"	"L6b_VISp_Mup5"	"L6b_VISp_Col8a1_Rxfp1"	"L6b_ALM_Olfr111_Spon1"	"L6b_ALM_Olfr111_Nxph1"	"L6b_P2ry12"	"L6b_VISp_Crh"	"L6b_Hsd17b2"	"Lamp5_Krt73"	"Lamp5_Fam19a1_Pax6"	"Lamp5_Fam19a1_Tmem182"	"Lamp5_Ntn1_Npy2r"	"Lamp5_Plch2_Dock5"	"Lamp5_Lsp1"	"Lamp5_Lhx6"	"Sncg_Slc17a8"	"Sncg_Vip_Nptx2"	"Sncg_Gpr50"	"Sncg_Vip_Itih5"	"Serpinf1_Clrn1"	"Serpinf1_Aqp5_Vip"	"Vip_Igfbp6_Car10"	"Vip_Igfbp6_Pltp"	"Vip_Lmo1_Fam159b"	"Vip_Lmo1_Myl1"	"Vip_Igfbp4_Mab21l1"	"Vip_Arhgap36_Hmcn1"	"Vip_Gpc3_Slc18a3"	"Vip_Ptprt_Pkp2"	"Vip_Rspo4_Rxfp1_Chat"	"Vip_Lect1_Oxtr"	"Vip_Rspo1_Itga4"	"Vip_Chat_Htr1f"	"Vip_Pygm_C1ql1"	"Vip_Crispld2_Htr2c"	"Vip_Crispld2_Kcne4"	"Vip_Col15a1_Pde1a"	"Sst_Chodl"	"Sst_Mme_Fam114a1"	"Sst_Tac1_Htr1d"	"Sst_Tac1_Tacr3"	"Sst_Calb2_Necab1"	"Sst_Calb2_Pdlim5"	"Sst_Nr2f2_Necab1"	"Sst_Myh8_Etv1"	"Sst_Chrna2_Glra3"	"Sst_Myh8_Fibin"	"Sst_Chrna2_Ptgdr"	"Sst_Tac2_Myh4"	"Sst_Hpse_Sema3c"	"Sst_Hpse_Cbln4"	"Sst_Crhr2_Efemp1"	"Sst_Crh_4930553C11Rik"	"Sst_Esm1"	"Sst_Tac2_Tacstd2"	"Sst_Rxfp1_Eya1"	"Sst_Rxfp1_Prdm8"	"Sst_Nts"	"Pvalb_Gabrg1"	"Pvalb_Th_Sst"	"Pvalb_Calb1_Sst"	"Pvalb_Akr1c18_Ntf3"	"Pvalb_Sema3e_Kank4"	"Pvalb_Gpr149_Islr"	"Pvalb_Reln_Itm2a"	"Pvalb_Reln_Tac1"	"Pvalb_Tpbg"	"Pvalb_Vipr2"	"Meis2_Adamts19"	"CR_Lhx5"	"Astro_Aqp4"	"OPC_Pdgfra_Grm5"	"OPC_Pdgfra_Ccnb1"	"Oligo_Rassf10"	"Oligo_Serpinb1a"	"Oligo_Synpr"	"VLMC_Osr1_Cd74"	"VLMC_Spp1_Hs3st6"	"VLMC_Osr1_Mc5r"	"VLMC_Spp1_Col15a1"	"Peri_Kcnj8"	"SMC_Acta2"	"Endo_Ctla2a"	"Endo_Cytl1"	"PVM_Mrc1"	"Microglia_Siglech"
"100041480//Gm9833"	2.92085048486797	5.58467719567199	5.81776049868172	4.41651013968613	3.28361207772598	4.75259799834843	6.72805808956102	6.25599179509663	4.58704914327282	6.11818322344575	3.5402990017163	5.77071471054533	4.54256343658318	5.89907804410741	6.76381830421781	6.90013887892601	10.0575316750542	8.10540242410389	4.05733439604373	5.96098731451149	6.45185185846883	6.00780374862225	3.86139082728097	7.31260641904735	3.90702655535148	5.7699244261142	6.5201841068862	4.47709512455353	4.09857175048229	2.51636558188545	5.65554457440018	6.20833850968143	6.75691964756247	3.83528945155102	2.86030424845303	3.3542078643646	3.99468179523668	5.93214585666687	4.9686501233698	5.86719566124941	4.46816808757697	5.16625125625907	4.38068701458294	4.50824854821808	5.02329833044289	5.01484421169081	4.12904707809134	3.98250823127663	3.19053705358243	3.21871095045381	3.70609568797407	3.2926912515008	3.93360675396996	3.08946038735518	2.32573359236369	2.04261480103144	1.17466456193795	2.98182852122757	4.58477035464703	3.85764202047876	4.71083190738157	0.910418321330263	-1.60587282630728	1.27612835580691	2.58651824310843	1.86746783504215	2.75231193451045	3.02277630910251	4.44122595571124	4.90193475428866	3.46265362712957	2.6961257066509	3.02750119960134	5.24585619145093	3.51985898667062	5.64990412819766	3.65827321633482	3.37939333868262	3.80921582498898	3.59117208857292	5.58333118908502	2.07789127001029	1.52893846210001	2.07644073322829	3.09086411201215	-0.129450414902215	2.36369579169715	1.72945385922277	2.70136063174343	3.4537230880069	0.536574125247679	1.46776306113848	4.17835001780745	2.9375051149067	2.74032016699139	2.5239872554757	2.66650820791623	1.94964387164552	2.74539850840729	4.2974245670981	2.58982732186248	2.66430040111334	1.9485079740252	3.33779325432054	2.31588595634093	0.963607876934065	-0.68905632785737	0.835386967805986	-2.01860016151519	-3.12366977485708	0.216664219001885	-1.54934788745153	1.53519827346918	2.04811760168426	0.844102019004694	2.74664376254757	-1.26701231806698	-16.2799962073445	-12.7252436311423	-7.1542191482216	-6.8361245905459	-13.9135443756874	-12.545669515994	-14.9442736405664	-11.2435067373137	-16.3315794893495	-15.4666277244038	-12.0147848243674	-15.1965164283981	-16.7681236168755	-10.1692542381606	-10.9348758068872	-13.1862710937152
"100048658//Ddx43"	2.72870572471352	3.86674359177934	3.52013601262844	3.96362854415467	2.96747192079857	2.96144418979537	2.74911634054508	1.72350165626843	1.13699203144068	0.837049817013176	0.289426394916013	1.01749057825734	2.08797025965266	3.10970015840099	2.37972915143513	2.85875289061613	3.00677115969089	2.54243278110641	2.16450329138728	1.49510954811551	1.73718128265343	1.04918366067472	1.55864398838889	2.72230173997502	2.48132661301764	3.5520693403085	1.62010397505762	1.48595917163091	-0.567663124949135	-0.449833462278298	0.641846215137664	0.788091600110025	0.592426258624371	-0.235306345956642	-1.7246722061809	-1.71138139037933	-0.509235589207904	1.3215784228327	-0.345636490028698	-1.23242681391334	0.800713306408913	1.71472779557071	1.68203955527484	-0.350163999428897	0.597833638570716	1.58339856419118	-0.312742274430309	-2.19080174647658	-4.16159665219235	-3.46120051905286	-3.77594841135617	-3.67037074470454	-3.60174690354427	-2.03078180640425	-3.1203211799887	-1.51597254012635	-0.259966861917192	-1.45353144456455	-1.10405720082273	-1.56100095783522	-2.3285582671951	-2.32040346894131	-0.514916121891026	-0.529891900166824	-0.378233390439028	-1.02516447496422	-1.38776481461398	0.463346542484828	0.664998979894296	1.24704457863602	-0.495612039701618	-0.412278994615486	-0.24408560630905	0.0542560089324828	0.198720813131733	-0.0678853867103411	0.41388461751697	0.0885130086337251	0.865967166030148	0.00133139026090203	0.337653200609801	-0.265408666195141	-0.688124847843098	-0.28107856611383	-0.925554788715675	-2.41634341258428	-0.689186114680541	-0.213607331169901	-0.969464256444	-1.94078943408215	-2.28452647518572	-1.81813189437645	-1.47264889095479	-0.653265469090808	-2.86920564854359	-0.962165164858999	-1.20392020924963	-1.91422465741636	-1.10300001980917	-0.447352036352269	-0.65203125133718	-0.737584582244692	-0.865953370859355	-1.28525807989195	-1.17323566366439	-1.65429232271002	-1.18819102367466	-2.95008430011426	-1.74999884005135	-1.34633332934533	-2.44211850848754	-2.88538456458278	-3.2549246197782	-3.30729696358993	-3.3214914573915	-0.145640656424717	0.0681930156675001	0.327969384010429	0.401307931527566	0.521502489994748	-1.13057227603735	-0.912952373458345	0.568251542340469	-0.90071607952807	-1.75825088757268	-0.274821936234064	-0.296350033165263	1.79172582048018	-0.00120620672236451	0.227231912082387	0.692479852394137	0.32301198808138	-0.0268425299549213
"101214//Tra2a"	-3.9126263086262	-2.71473600966999	-7.04846545496446	-7.25381857659825	-4.29478023240947	-6.7557149975957	3.8607767481799	-7.53962830246763	-8.80505719323037	-8.55524575908411	-3.14622872189569	-8.06671651691058	-6.9899037467784	-7.40179848051466	-9.90600362788419	-10.528645230841	-14.7220581168961	-15.3087252965483	-13.482289711816	-13.4520704943917	-16.9158609419901	-15.0744064320573	-10.3376087865736	-9.91022626539575	-4.53961598861402	-5.80311998277708	-6.60239847848877	-11.9577637271537	-5.64271761925056	-7.20210805560372	-11.8296954265959	-10.5199245925262	-11.4924530663115	-9.74114664933907	-7.7116668644158	-10.0790540217201	7.26129611399781	-0.341833747240492	4.06719150653306	0.0106853559055555	-5.01005673729215	-6.4395276193851	-4.4978799577483	-0.0212934541126143	-5.51357957203882	-3.4397972444823	-5.18206435719208	-5.3653058431525	-4.57195711178879	-4.77116947315622	-6.39064355819188	-2.52607641146597	-3.7211593637677	-2.6520522737538	-5.0884827955084	2.87963462167774	3.59008231152276	2.36993644765828	6.94659530016854	8.62175189763068	2.01924977422386	3.9966145216258	-5.25137387751175	3.95687283804597	-1.55173705181568	-2.31725332894662	2.24292529315713	3.79209277053439	8.40747348568309	10.7269993021336	8.49704118001235	6.19406994175138	9.23068087805156	10.2291440362051	9.52595810986041	13.2635883937701	9.29919234711813	9.48669026480298	8.76325902735729	10.0727796997375	9.28123453438013	10.8150504514338	6.88759684837549	6.94047628211185	-8.55404727452868	-3.31987780851344	1.00436728061908	3.88500142888625	0.587705574123176	-2.26238949219092	-1.57670252613425	-0.63080065964718	5.86646951712215	6.85093040527001	4.00892968785378	1.5086931280248	0.726514413819125	-1.7965462964385	-2.44619665085292	-4.62204932101382	-4.24020964173771	-2.06645159376104	-2.74096438976875	-2.06640664032315	-0.317596114482558	3.56163919635042	-1.34444570563174	-1.00298096050709	-3.18316159569899	-7.46613304158019	-0.0790725705188066	-2.74638789546245	3.1119324549785	-5.251312978251	3.66542403047206	12.0118809025709	9.73355464728551	7.11338487811844	9.75280483339934	6.08710666599499	0.567894282796478	7.11560285149866	2.13528618391424	4.17350711581319	1.09308433910013	6.58053378892295	5.79917032125812	6.2457391133227	6.02258162110134	4.69374852325088	1.54928359934654	2.23633231418702	5.65177254377076
"103284//Zc3h10"	-5.23355838212101	-6.21963030917713	-6.59679159076971	-6.67951597469359	-6.15793574297991	-7.44619039029162	-4.04021590863898	-4.73683636333379	-5.33135748764413	-4.49657667443306	-2.39758779222354	-5.47028520326807	-7.88675251801616	-7.53000637338965	-7.88695351115599	-7.56363547156394	-9.33125035252307	-8.74238069449266	-9.15999391133121	-5.70653614201193	-8.82532933165171	-8.14665198270513	-7.00806293906631	-9.02201947406528	-7.58545454420775	-8.30158334224158	-7.63667016499526	-6.87428779995762	-4.08722750388634	-1.99758188610846	-5.48747649279177	-5.72300697848432	-5.92648854936704	-5.43378739832327	-3.60890021023585	-7.3858479001183	1.44801048297454	-4.18267206386358	-1.14120714624026	-2.31811269945696	-3.83790721790344	-7.01676089498355	-8.10789740220284	-2.60992345807307	-5.52357177066118	-7.04278124355051	-6.19586883498152	-10.6960244984062	-10.5016494240256	-8.90876541252973	-8.96450281436468	-5.87331336254929	-5.32014821358475	-6.93802493045208	-5.08595415737905	4.38881190240135	4.50556156334278	2.27107482817925	2.67696538285406	2.98530520675096	4.8595867960219	2.34839904278049	3.12878295452603	3.09649034212146	2.6255927352944	5.18872919318359	1.79081947395245	5.20764698564213	3.00614426420092	3.13241334206715	4.66730499801872	4.03463560144896	1.74845128835476	2.98405663291063	4.66869134888888	4.08142115094312	4.21085405749726	5.77847625836589	3.97623432038394	3.88748228998618	1.64986026659646	5.19055484542042	6.81097259901401	3.78668591496661	4.71740445537877	6.52110573268385	7.23574447937347	5.77577834105526	4.48558483201369	7.02618518611492	4.75856888111484	3.95081509321893	5.2995813916819	5.2283285076382	4.90792308196428	2.18504371779721	4.68326309475677	3.8729040951777	4.097047932023	5.04428723579557	3.45451328347038	-0.503195341207381	4.39141491116748	2.79615360960498	5.14735713207847	6.99236604794377	5.58735559199975	8.06902116366975	7.10215080235484	7.82159277231278	9.34511791144206	6.56459739250543	9.4283959192885	11.1450446637233	5.29675882520696	2.28970673868575	6.47667225642727	1.71069388372067	4.26281990289008	5.36000587226309	2.80546329816964	4.11509818406664	1.86697241511019	-4.43617560320843	-2.5476576394882	4.04388285038643	-2.36751777849305	4.55959188211798	1.29378017175181	3.60342709118862	-1.06843737731737	3.6649564604306	3.03370837468208
"104015//Synj1"	5.01941524434379	4.62174279659396	9.46406271251053	7.38209520467151	6.72759550124219	6.88872015787512	6.17968755822969	10.1742129392511	9.81863024099319	11.8674646902451	5.86719141029949	9.56072414742491	8.33400281285192	9.58994211401416	11.4495503875025	11.9505597394432	12.8510597885468	11.5080332436268	7.90301636155607	11.4329198063933	10.6663717204784	10.7991526160107	8.2257826802469	9.88708533708125	7.02221470828906	7.4550643765463	8.94324115028083	9.14767818263825	6.76861914372007	4.56508973023934	7.67980430230872	9.43122938792668	9.67145194862721	7.87239199300046	6.42313069606936	6.138924346002	3.93368193198251	10.9587957100907	3.41950002435918	8.79641331702883	8.53846362160325	9.04005737961754	5.98048094516779	4.23523620834798	7.60991614460411	5.03660251059068	6.8491238792545	5.36926017250408	3.47039526621414	3.16239002473728	4.4480371507592	4.10714201533907	6.65941892066168	3.23798971148373	3.50251610883279	5.68442734745501	4.26097566902845	6.84789644009628	6.09032570242574	4.57245581830805	10.8063970575936	1.48467767212016	7.12629653570163	5.78488553425165	8.13992057241599	7.72254528119229	4.83219551069972	5.57020415012092	5.4247251501999	4.52240022972112	4.02311588899028	4.87812557962188	1.3258414080011	6.08767236601158	2.3396602730634	1.92840644149195	3.74373429615822	3.50289176268102	4.08703060946769	3.10769891559981	5.8258977196309	2.49603174084089	3.92284973329466	3.83235928674939	11.4435718927535	6.05338176796185	6.60205659888028	2.6776044021019	7.53172793813455	10.0868699339259	6.81498793551764	6.62139720216426	6.74660982660598	2.46677367170195	7.28646635104013	5.27800512479693	7.53763493293282	6.79465249847266	9.09979388390125	9.58426198573609	9.40480092774779	7.32087471377251	6.24535187367538	9.36766113507809	5.83982509288203	4.41378899700809	5.15705588173964	7.16581314772681	7.36773750110362	7.60833889656095	7.70612084881737	5.8106094782557	8.92330991965029	12.5085430281959	2.50967499731702	-8.50874813375652	-10.0455145723611	-26.6916908700108	-21.3136547512987	-19.7804155429239	-18.275019176345	-22.215212062023	-19.3585085243743	-24.1684397379508	-20.0333670568793	-26.4487001235711	-25.08118143893	-23.2461242622162	-26.2056940117094	-27.368316709093	-16.5587180432336	-16.3550605944364	-21.8144644119951
"105559//Mbnl2"	15.6765059604329	18.4655138329505	21.5927662625009	14.6309825167832	11.3847121933817	15.0398592798513	19.6115504543099	14.0470367520452	11.3947282018406	12.600448489573	8.10329544698599	13.5249364198254	13.2407813087532	15.9404976183414	15.9190386307233	13.6166468748733	17.2471051741241	13.8972561674273	12.5279989162622	10.6829027136628	13.8046279653421	14.2550169547513	16.3810738622336	21.4771464213764	15.4768026156112	18.1916658456793	15.9996798979748	13.6929888856912	10.1191941403157	8.58591040496366	14.1296115063202	14.8667102818587	15.4335175194842	12.4763826377743	8.53538785615842	12.5191347753135	1.71502428151628	5.6830758605037	7.39752490102519	4.42831578280577	7.44617716328155	13.5282230815265	14.0283783764557	11.4225198317307	16.549792199756	18.3606591323523	10.4130623133179	7.40970080941164	10.7353027326054	8.11510360032913	6.72546548374355	2.75066571247247	1.87451255151292	5.63256948578789	0.998095659024964	-13.0923820759675	-10.2449565155307	-6.70806895382027	-6.49878769238954	-10.1016819700672	-8.18104659322771	-8.62788268774957	-10.0038945745706	-12.4494474760271	-9.74120119322346	-11.9303764016308	-6.57920278770443	-5.1506529482152	-7.1884428405339	-7.43653077286663	-8.69791426998479	-10.5924293158693	-5.24770846821298	-7.2096528987748	-7.88470700847714	-7.28268684903821	-4.88518429635719	-8.57889538564392	-4.97256706394973	-9.30031657643955	-4.86185319615918	-11.1582351940233	-12.9115309070876	-11.3170709666894	-8.87657981921014	-11.744774406626	-12.9660561326526	-8.29611094086627	-9.82700564168463	-11.2347110656795	-10.9682015642853	-11.6823925262297	-12.8020193790307	-10.0368913152295	-12.1938954768083	-6.12362790164211	-10.4402032633999	-8.90049182720113	-10.914233292869	-6.80713462253489	-10.2185333406502	-4.02145281110702	-7.71482260889064	-8.04758546284956	-8.29205996072195	-11.5063981314012	-10.3360696817691	-13.7222512281969	-10.8050188683901	-10.5724887320495	-12.5821860658469	-9.677541165379	-15.3296274920406	-14.9338296953027	-9.65850843994064	-0.124255699684156	-3.3109442491458	-4.29488880113761	-4.26191059023096	-3.99424190679201	-2.9086647613178	-3.42599232541507	-3.06825575673635	-2.28817700870278	-1.27833259091051	-2.92380550423732	-2.40525140881728	-2.26185778821898	-0.514468826991881	-2.66059962726517	-1.38244397220328	-2.64279220113412	-0.27094433615481
"105859//Csdc2"	-12.4788490622575	-15.4832833297329	-17.7427918522464	-11.8045933112233	-6.208268843731	-10.5427103961295	-14.0370611742863	-13.3274036765619	-11.2611597505578	-11.0147665469393	-6.99512278795946	-11.6024987411291	-8.95378403884917	-11.7244381517539	-13.1614317528671	-11.7253681363611	-17.1962728610592	-16.0373580967783	-15.1282864534931	-10.8427525537491	-15.9610854066401	-13.9109124260086	-14.2982568757829	-19.450822176346	-14.0074712149333	-17.424443317816	-15.4679478893361	-12.6837165205394	-9.28933820501718	-5.57116111167546	-12.6878841725811	-14.0564318430783	-13.6478258956874	-12.7608335771369	-7.80117069449033	-14.1721093394691	0.199956382537939	-2.83936755104876	-4.89756363833333	-0.376398410342896	-5.30496805392531	-12.997688800664	-14.2548134234311	-8.38913500977295	-13.8221670509716	-16.17144268034	-10.662167431844	-11.7408819485733	-13.352533549624	-12.175101496665	-10.8224778343958	-6.5692393311377	-5.26515205161465	-8.18695992779475	-3.73632939542734	11.2225519076807	10.2984889273263	8.75933013752912	7.67771551553546	9.4868340528471	9.15096058018457	7.31887151480081	9.4828414991854	11.9343506216689	9.07260143056202	11.3939329751018	7.09130543065474	7.38359871273844	8.74414771081627	8.95276154256853	8.97497568078631	10.4599827207193	5.83148499356343	9.03989974730499	8.13047548636722	8.61837086926244	6.60144098978718	10.1421472563864	7.7684091188083	10.913306402089	7.11815561906331	11.6611299375758	14.0620261934618	10.480896851099	9.06932741901254	9.35886576942396	12.3424008783268	8.46471184557503	10.13536833194	10.9669800258331	9.79662129547601	10.1771459188466	11.9727537874561	8.72184289814225	11.223628563337	5.17150647107392	9.89760424311681	8.53915352473406	10.13135069849	7.28494606618278	8.39131609411885	1.72843381927084	6.72489356671184	6.61251102337099	6.92093794462886	11.1500841598741	8.76081175794221	12.479474126622	10.3277405026984	11.1140652618244	13.812406659658	10.8264904293027	15.8891047628112	15.8054320119725	8.82310044144859	0.621767173479251	2.6131798201616	-3.36789513456354	-3.64101695785105	-3.00973016585784	-2.9614003466277	-3.6421419567839	2.66882092841079	-5.05384448216991	-4.24815482527163	-4.6742136926246	-4.31408609184014	-4.31978095695617	-5.92154393594464	-5.62223281155365	-2.76647123215133	-1.95315265152117	-6.28440522889379
"106205//Zc3h7a"	-5.8497456407462	-2.1407429596315	-8.38236297036913	-6.55548011593552	-5.72297153996902	-7.0624078079268	2.48839747379771	-11.0057321218753	-11.7270232332433	-12.986299661794	-4.46156451028761	-9.98409704550699	-7.7908635488089	-9.59715198363911	-12.0030510147121	-13.8883512604916	-15.1231216605168	-14.5683431745449	-10.1104765140293	-14.0424855820303	-14.3612106494125	-13.7987733641986	-9.10377153484736	-9.23131516310168	-5.7849276104374	-5.16244970988772	-6.90241944108817	-10.4505462260374	-8.97483202013811	-8.02718306210198	-13.4002925763825	-12.7514912003842	-13.9378867043076	-9.61977998998211	-9.05638558723807	-7.57725377496776	2.55706854397914	-7.45786456645379	0.687632622308198	-6.19700406034763	-9.65156762453876	-8.61036742110294	-3.44199531715583	-1.98681195318053	-6.96325953408602	-3.50021128436254	-3.85351542044045	-2.26362975891896	-2.51150447225544	-1.24157295456554	-4.98728836115199	-1.78017947347048	-5.7942785797344	-0.89985248827132	-5.19518102513086	-5.80240376036078	-3.60211684091976	-5.91520516219696	-1.35611187132644	1.89930701508309	-9.20377493535512	-2.0605579360569	-11.6334919965514	-3.80697481331635	-9.34647832533668	-10.6285894614553	-2.51826871261574	-3.8545986149656	2.46215998029475	5.43866140022277	3.33271218563985	-0.658423719024179	7.29920068127772	4.04139739226102	4.83587148480779	7.01646614573618	3.53489967367252	1.7221319500915	0.699255065974216	4.64623212763267	1.32045374182261	5.38795618733116	0.254555230893593	0.385166746175866	-15.5592106904615	-8.62357933012882	-5.03257890486666	-0.502332982296089	-4.58767639160948	-11.9595321686603	-9.1958681229217	-7.78903863706573	-4.02869818537499	1.2292848512893	-5.73070436581112	-4.49549890216329	-7.37314385797086	-9.30357224131831	-10.8349364283584	-12.0266144395969	-12.9665923279489	-9.605437349457	-8.89053729534177	-10.7678787339821	-5.04870195077437	-2.24626311453074	-6.84760766690499	-9.32345261656392	-10.5007488750901	-13.2412063855061	-8.7320227662247	-8.6804182529262	-5.15165271587839	-16.1471103339915	-1.65523248735177	11.7611858089143	14.3642388315212	24.3712442990765	22.3196065750939	17.7174141209015	14.4391422338035	20.6169715402331	11.6300804556395	21.0405931528457	13.5260056536015	23.2819056725867	22.8645713494319	21.2380337457229	22.4294799676082	24.5684680467789	15.0550553486445	16.408258972582	20.6407704011812
"106583//Scaf8"	-0.999871195411906	0.620594540449895	-1.51969799517825	-2.96499634327623	-1.17230780952284	-2.3026791186924	4.60426141534417	-3.81814316351248	-7.8457843014937	-3.80796662098069	-0.867867589945636	-3.83716761689328	-4.35945384260528	-2.28508939151224	-4.6168870020423	-5.38005958918859	-8.38308259155712	-9.77395647016339	-8.48052779076226	-8.9322621292207	-9.99251150200917	-9.44987184878908	-4.72462761620354	-3.23253506762171	-1.00521958015933	-1.7247729488551	-2.96125216687608	-6.63834310348113	-2.58601004707494	-4.89339356401095	-6.69147147134113	-5.76414085254989	-5.48300373094451	-5.12137731599297	-3.23490738066616	-3.79261751468186	5.55804222975749	0.531434536059878	3.64219931660386	0.896663320678944	-1.59071117743977	-2.74923383559503	-2.00056153123474	1.40369400511465	-0.687193268047966	-0.331431558376505	-2.69213202691953	-3.97864410634921	-3.33458783308434	-2.5834837287661	-3.63623036368825	-0.677408944090747	-2.28656881960078	-0.934278349060047	-4.01255999738034	-0.068026003301391	1.38080599543922	1.36766243958159	3.78590693260306	3.86719221554044	-0.253783172778131	1.60173828782035	-6.2112520487284	0.15487045147259	-3.35563642770657	-2.70251041431062	1.04859569274766	2.32139450936051	5.26200865035501	7.1825266349218	5.21892619969146	2.67811739265079	5.35990573724111	5.2375584893155	4.81635121198594	9.613104228802	5.50558995003443	5.45893652934148	5.38467785088211	8.1624120027166	5.02756158834056	6.94981912200077	3.73408818030515	2.30416212757448	-8.1721916777305	-3.36454901228148	0.404490726468105	3.66825424920482	1.97116544841369	-1.99882209733829	-0.509120369459896	-0.0813260490351476	2.98149258423442	4.13346324440822	1.16555950408068	0.844129437680241	-0.459851603676709	-1.38582315068649	-1.73171322388627	-3.23512930655603	-3.33136832180204	-3.05584668652869	-1.47282749316389	-1.41340784463461	-0.446989129561263	2.56117345620088	-1.80964909988501	-1.50246728637736	-2.39964966012501	-4.50377915670421	-0.799200630444413	-0.59447226548679	2.35016738855652	-2.43105452526751	1.4042020575953	8.73920053002904	5.33197409156894	5.44723452262195	5.45922555784324	3.72939216646135	-0.396130381022978	4.66906275771388	1.11253574284146	2.84678962825176	1.13956683649866	3.80349748984279	3.64241874234122	3.10004345817481	3.94768593378109	4.30539901524576	1.42025442900597	3.26468155647908	4.66189958794014
"106794//Dhx57"	7.16087500209907	10.5902726781852	11.6981779642203	7.25865640125019	3.97689535507845	6.80351387435443	10.7411553424604	8.2574090693883	5.82578520353617	5.8002611663148	4.55214388552025	6.03324761354558	5.28425176735987	7.32816989952682	8.50835696220695	6.73955864138615	10.5374626467969	8.91171526412067	7.26778549520641	5.86962229477249	7.79171564104256	8.02134469612303	8.22846556679873	12.8896901095769	8.42241830748348	11.4358933664852	10.8922750916425	7.00481959010637	3.79946719861148	4.28891740720809	5.3869193000843	6.16050013475524	6.40787274783124	5.34674630806819	3.76133054649306	5.49632409133278	2.98757152088971	5.34935132929912	4.47155921234245	5.41942889894096	5.23197250708286	8.91733086408646	7.708551921796	5.18761611458416	8.53936316696752	9.93133713097941	6.26961076482927	6.01843155108018	6.16130765438293	5.33544316330252	5.61177114575207	3.26015070463067	4.18034861752951	4.53117839941692	2.48479118559382	-3.04892834125591	-3.22201983263015	0.953303097320691	1.65384494516746	1.1133400935286	2.21359058389622	-1.52219311041972	-4.94448313936724	-4.61072922099947	-0.39994721619853	-4.48435073994472	0.247732489227291	-0.416359543025704	1.74244074770439	1.79342276000451	0.573868833650438	-0.082016646355594	0.993680617415381	2.62932304037045	1.34928685739704	1.8161177110392	1.45989525477286	0.53939387828516	1.82740596957448	0.166700814993053	2.79636184608536	-0.990700686648039	-3.3708319699731	-4.67719084002086	-0.764336712807506	-6.92347253179327	-6.22669468616658	-4.09177455784877	-0.916373520082223	-0.488251281466533	-3.34323531689425	-1.75719213674048	-0.991762305121269	0.54701851194163	-1.66070160455084	1.48699912076494	-2.10982275679018	-1.79426421745135	-3.06089237895438	-0.236014894947524	-0.342283589813443	1.85380493714905	-2.41766268012121	1.44038540743757	-0.463512292180295	-8.07398375461342	-5.42830607362902	-6.29121742586532	-8.90528163757919	-9.85755154475929	-11.0992990267046	-8.66004178491431	-9.61494137258295	-10.9243852717049	-4.16192646237162	-1.24565613213466	-3.4570570724142	-7.11218571194337	-5.52639002288931	-5.87012150301487	-9.60856804214176	-7.01407475379477	-10.3743363145505	-9.38865398913571	-7.79598650066787	-7.42972786221131	-7.74484081382027	-9.19777620590436	-9.41274812813611	-11.0219050649472	-8.83710292522018	-6.61348143127153	-5.72238557731721
