event_id	groupA	groupB	groupC	groupD	groupE	groupF	groupG	groupH	groupI	groupJ	groupK	groupL	groupM	groupN	groupO
CA-100039707-3140-7049-7311-33813[INC][1/12][UPT][DNT]	1	1	1	1	1	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	1	1	1	1	1
CA-100039707-3310-7049-7311-33813[INC][1/3][UPT][DNT]	1	1	1	1	1	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	1	1	1	1	1
CA-17448-7825-8535-8619-10280[INC][345/2]	0.837040217122905	0.837040217122905	0.837040217122905	0.837040217122905	0.837040217122905	0.83270452501927	0.83270452501927	0.83270452501927	0.83270452501927	0.83270452501927	0.854638967914321	0.854638967914321	0.854638967914321	0.854638967914321	0.854638967914321
CA-17470-3198-14758-15085-17188[INC][6/1][UPT]	0.926354293925758	0.926354293925758	0.926354293925758	0.926354293925758	0.926354293925758	0.925935718987365	0.925935718987365	0.925935718987365	0.925935718987365	0.925935718987365	0.39313888343409464	0.39313888343409464	0.39313888343409464	0.39313888343409464	0.39313888343409464
CA-17470-3198-11750-11832-14758[INC][39/18][UPT]	0.947663532160931	0.947663532160931	0.947663532160931	0.947663532160931	0.947663532160931	0.950388305349745	0.950388305349745	0.950388305349745	0.950388305349745	0.950388305349745	0.945511594838316	0.945511594838316	0.945511594838316	0.945511594838316	0.945511594838316
CA-17472-3107-5541-5748-7396[INC][10/5][UPT]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	1	1	1	1	1	1	1	1	1	1
CA-17472-3107-5541-5777-7396[INC][3/5][UPT]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	1	1	1	1	1	1	1	1	1	1
CA-17472-3107-3769-3868-5541[INC][1/14][UPT]	5.944139238105e-5	5.944139238105e-5	5.944139238105e-5	5.944139238105e-5	5.944139238105e-5	0	0	0	0	0	0	0	0	0	0
CA-17524-3225-4569-4657-8069[INC][2/111][UPT]	0.015645575419242348	0.015645575419242348	0.015645575419242348	0.015645575419242348	0.015645575419242348	0.0019437938195802	0.0019437938195802	0.0019437938195802	0.0019437938195802	0.0019437938195802	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864
CA-17692-3175-4557-4640-5012[INC][9/35][UPT]	1	1	1	1	1	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	1	1	1	1	1
CA-17758-134350-135454-135676-138711[INC][35/8]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	1	1	1	1	1	1	1	1	1	1
CA-17846-3206-28592-28874-85227[INC][67/4][UPT][DNT]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.899008631129088	0.899008631129088	0.899008631129088	0.899008631129088	0.899008631129088	0.8743931867419634	0.8743931867419634	0.8743931867419634	0.8743931867419634	0.8743931867419634
CA-17846-3206-11289-11385-28592[INC][1/109][UPT]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.0028057262431226	0.0028057262431226	0.0028057262431226	0.0028057262431226	0.0028057262431226	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864
CA-17847-183328-184314-184474-184689[INC][23/6][DNT]	0.894173791621095	0.894173791621095	0.894173791621095	0.894173791621095	0.894173791621095	0.8985877126784525	0.8985877126784525	0.8985877126784525	0.8985877126784525	0.8985877126784525	0.878699217952568	0.878699217952568	0.878699217952568	0.878699217952568	0.878699217952568
CA-17904-3287-3780-3887-4080[INC][1/473]	0.004524886877828	0.004524886877828	0.004524886877828	0.004524886877828	0.004524886877828	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439
CA-17904-3287-4080-4224-4423[INC][463/1]	1	1	1	1	1	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	1	1	1	1	1
CA-17904-3287-3472-3492-4080[INC][3/473]	0.004524886877828	0.004524886877828	0.004524886877828	0.004524886877828	0.004524886877828	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439
CA-17904-3887-4080-4224-4423[INC][22/1][UPT]	1	1	1	1	1	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	1	1	1	1	1
CA-17938-4215-6825-12741-13822[INC][2/572]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA-17993-3136-3637-3687-39568[INC][1/149][UPT]	4.307634340004e-4	4.307634340004e-4	4.307634340004e-4	4.307634340004e-4	4.307634340004e-4	0.0038034486394096	0.0038034486394096	0.0038034486394096	0.0038034486394096	0.0038034486394096	0.0018214222253454	0.0018214222253454	0.0018214222253454	0.0018214222253454	0.0018214222253454
CA-17993-3136-39568-39647-74065[INC][146/2][UPT]	0.984718985522823	0.984718985522823	0.984718985522823	0.984718985522823	0.984718985522823	0.974404012982301	0.974404012982301	0.974404012982301	0.974404012982301	0.974404012982301	0.917762216532809	0.917762216532809	0.917762216532809	0.917762216532809	0.917762216532809
CA-17993-74238-83204-83278-102228[INC][135/4][DNT]	0.894062101711107	0.894062101711107	0.894062101711107	0.894062101711107	0.894062101711107	0.82085771300329	0.82085771300329	0.82085771300329	0.82085771300329	0.82085771300329	0.881848584328941	0.881848584328941	0.881848584328941	0.881848584328941	0.881848584328941
CA-17995-4380-4453-4624-5716[INC][168/1]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.895368467562869	0.895368467562869	0.895368467562869	0.895368467562869	0.895368467562869	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864
CA-18002-11095-11409-11492-12281[INC][234/3][DNT]	0.989762013522012	0.989762013522012	0.989762013522012	0.989762013522012	0.989762013522012	0.994788348112741	0.994788348112741	0.994788348112741	0.994788348112741	0.994788348112741	0.986868377333731	0.986868377333731	0.986868377333731	0.986868377333731	0.986868377333731
CA-18033-102994-103701-103768-104059[INC][27/1]	1	1	1	1	1	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	1	1	1	1	1
CA-18033-104232-105043-105221-109032[INC][27/1][DNT]	0.985185185185185	0.985185185185185	0.985185185185185	0.985185185185185	0.985185185185185	0.974404012982301	0.974404012982301	0.974404012982301	0.974404012982301	0.974404012982301	0.917762216532809	0.917762216532809	0.917762216532809	0.917762216532809	0.917762216532809
