Regulator	Target	MI	pvalue
257	617	0.29173026056486684	1.0
867	27	0.32969435653033563	1.0
429	79825	0.27699384100051905	1.0
1051	128826	0.23818405863259606	1.0
867	28	0.26076267586717083	1.0
196	10123	0.28896861608282914	1.0
196	10121	0.3056664799484565	1.0
196	10120	0.387596781131915	1.0
466	163688	0.2566465269276743	1.0
4299	55636	0.3729399592496499	1.0
165	9828	0.29612835717609415	1.0
196	23400	0.3187623941239308	1.0
571	55860	0.3138506142836759	1.0
474	967	0.24962938251585953	1.0
867	50	0.2618106215662852	1.0
657	219621	0.2925533480906797	1.0
1050	54149	0.25768507119728223	1.0
1050	567	0.2824056580108927	1.0
1052	134553	0.2768410779017483	1.0
430	387640	0.29264848515287056	1.0
257	622	0.3209773525527142	1.0
867	29903	0.5389246754526598	1.0
867	53	0.33543218770663596	1.0
604	79568	0.37884187997729946	1.0
1386	148423	0.36444331624615245	1.0
429	55853	0.31316605328421243	1.0
367	10658	0.46512767746056183	1.0
646	10669	0.28290240498071856	1.0
474	84553	0.3121789261550765	1.0
4299	55626	0.3401191438595337	1.0
571	54520	0.3115593159092418	1.0
1052	145200	0.23449265809442643	1.0
571	79822	0.2944004630132202	1.0
571	79825	0.31632665889662226	1.0
571	401251	0.3138812254898502	1.0
571	389084	0.269864795216346	1.0
466	55814	0.29810252844071455	1.0
1052	134548	0.26815336599277995	1.0
430	122622	0.2277982960831446	1.0
657	9826	0.3720612372665724	1.0
1050	552	0.30301514900970195	1.0
1050	79415	0.36795243161319924	1.0
257	631	0.3315389340696173	1.0
867	41	0.2992621197913303	1.0
571	55870	0.4349085104127802	1.0
1045	387856	0.2747098900339058	1.0
646	203286	0.31780484554453636	1.0
257	637	0.2316316285372233	1.0
1050	550	0.29641127975418974	1.0
604	79577	0.24378841041697363	1.0
602	34	0.27196060129640287	1.0
646	10659	0.23217855484847494	1.0
467	79669	0.279697030113061	1.0
1388	283643	0.30723640794923757	1.0
865	28974	0.3072629323131846	1.0
165	203228	0.28992253238794063	1.0
367	10666	0.2887740888679223	1.0
867	8086	0.5025941996372503	1.0
196	752014	0.34629069925752254	1.0
604	338707	0.27845036040452165	1.0
4299	56946	0.5682233619625432	1.0
1046	54921	0.2621606325933872	1.0
4299	55610	0.29735750302764763	1.0
4299	56941	0.26510283204426194	1.0
571	402573	0.2507545533649367	1.0
571	54535	0.3313009756572689	1.0
4299	56942	0.24709290330031308	1.0
4435	79642	0.23043572883737706	1.0
571	79892	0.41240140317154705	1.0
867	54964	0.4342063358066202	1.0
4299	230	0.2304453690871231	1.0
1051	80221	0.3855682477179364	1.0
468	55501	0.2592822292689716	1.0
646	157695	0.27080102736928335	1.0
1054	1118	0.24384824632216073	1.0
468	55509	0.24240447426691514	1.0
1054	1119	0.2749575506658699	1.0
571	65250	0.3844145802594344	1.0
867	8038	0.2822559255547912	1.0
1054	1114	0.23433463655075037	1.0
466	79886	0.33305126512651323	1.0
1386	56647	0.29880079852873154	1.0
1051	92211	0.2813079044996467	1.0
1386	55317	0.2814463883381064	1.0
1386	55319	0.27074958037026464	1.0
867	54969	0.3384388168036514	1.0
429	90271	0.23913341875107363	1.0
430	348094	0.3377307502457305	1.0
466	65250	0.3451709430315839	1.0
467	79611	0.25616131837760125	1.0
571	124045	0.37921679975891553	1.0
474	9828	0.26471257813074	1.0
657	134121	0.2815467191757435	1.0
4299	222	0.2429689855389281	1.0
466	150383	0.37714019786295494	1.0
4435	100130311	0.28943010370748645	1.0
867	54953	0.3221326717720121	1.0
1052	55109	0.298277469996417	1.0
430	387695	0.2680121062192353	1.0
1051	93550	0.2599309615098675	1.0
405	154810	0.24846287049298166	1.0
604	92591	0.26977655430853176	1.0
1051	80212	0.24431238466559257	1.0
466	389084	0.30870559992821134	1.0
1386	56650	0.38899315047744976	1.0
1386	55320	0.5228767359736421	1.0
1386	55321	0.37560943623000753	1.0
1386	55322	0.3692463143825145	1.0
466	79892	0.3778580517708944	1.0
405	2972	0.36010139903412597	1.0
196	645455	0.23596777652937995	1.0
1051	93556	0.3495224453638164	1.0
604	146712	0.2838572561010686	1.0
467	79609	0.253680092749363	1.0
466	91526	0.2675855644673133	1.0
257	317762	0.28707526215291246	1.0
1052	55102	0.24222328290316986	1.0
1386	29028	0.4399756047142165	1.0
867	54955	0.36580640070712755	1.0
571	79879	0.34409511666889675	1.0
1386	256309	0.2951845165641993	1.0
4299	226	0.41933456927620205	1.0
1052	55101	0.2520846704985118	1.0
468	127703	0.3205810333890047	1.0
745	79886	0.3189588009584714	1.0
867	54982	0.4382059132245205	1.0
571	126695	0.2952704800503865	1.0
867	54987	0.43053471176679103	1.0
571	79872	0.3688814978689303	1.0
468	56851	0.2922846719325672	1.0
657	160428	0.3095415033849438	1.0
865	64682	0.3151832005545363	1.0
196	259173	0.335414032157663	1.0
467	56999	0.3136011302801194	1.0
1386	56624	0.3117855177696107	1.0
466	79863	0.3406662619302077	1.0
367	83596	0.3977119435923262	1.0
196	284106	0.2792191430405888	1.0
4299	259	0.31346828121907944	1.0
